time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-05-26,49385.5,45520.61,46460.5,5300.62,250509883.16,47481.47,direct,
2021-05-27,48866.37,44956.34,47481.47,3544.92,166222700.69,46313.74,direct,
2021-05-28,47041.2,41758.6,46313.74,4898.45,216799699.68,42912.05,direct,
2021-05-29,45089.97,40524.58,42912.05,3510.09,149205816.49,41630.03,direct,
2021-05-30,44153.95,40228.39,41630.03,3198.68,136570347.26,43173.33,direct,
2021-05-31,45330.13,41188.01,43173.33,4416.32,191964792.31,44850.02,direct,
2021-06-01,45786.61,42874.78,44850.02,3439.99,151708397.39,44408.56,direct,
2021-06-02,46159.63,43249.71,44408.56,4016.12,180565196.67,45103.36,direct,
2021-06-03,47694.49,44674.24,45103.36,4176.36,194175155.82,47499.42,direct,
2021-06-04,47600.19,43062.95,47499.42,4940.09,221058320.43,44651.0,direct,
2021-06-05,45914.34,41947.17,44651.0,5659.46,250936765.55,43053.24,direct,
2021-06-06,44125.09,42455.25,43053.24,4873.4,211404492.08,43344.24,direct,
2021-06-07,44692.64,40211.04,43344.24,6267.96,271030691.64,40438.76,direct,
2021-06-08,41222.54,37449.77,40438.76,7354.12,291346648.99,40306.17,direct,
2021-06-09,45573.57,39119.85,40306.17,6940.37,292421073.76,45149.23,direct,
2021-06-10,46610.82,43274.52,45149.23,4679.64,209948450.51,44218.73,direct,
2021-06-11,45667.96,43382.83,44218.73,5012.63,223125615.02,45220.34,direct,
2021-06-12,45620.84,41973.04,45220.34,8768.09,380219813.61,42978.29,direct,
2021-06-13,47926.35,42159.8,42978.29,5615.88,243896686.12,47662.91,direct,
2021-06-14,49847.52,46943.89,47662.91,5968.04,289567136.29,49051.22,direct,
2021-06-15,50495.6,48000.83,49051.22,11394.49,557157410.92,49044.08,direct,
2021-06-16,49414.31,46622.14,49044.08,9122.44,438530252.4,46937.54,direct,
2021-06-17,48828.21,46094.36,46937.54,13653.17,648777623.05,47122.14,direct,
2021-06-18,47300.01,43540.42,47122.14,15269.29,700661114.32,44745.65,direct,
2021-06-19,45487.81,43310.1,44745.65,15771.99,702741772.9,44100.31,direct,
2021-06-20,45103.35,41448.85,44100.31,19917.12,868936169.05,44174.0,direct,
2021-06-21,44606.16,38629.61,44174.0,9259.95,385021996.57,38944.07,direct,
2021-06-22,41187.05,35601.66,38944.07,18014.22,708081354.92,40100.92,direct,
2021-06-23,42823.85,38942.78,40100.92,15406.0,640222719.92,41312.07,direct,
2021-06-24,43435.29,39676.06,41312.07,9691.27,402554167.81,42570.68,direct,
2021-06-25,43837.53,38360.02,42570.68,9142.3,374882079.88,38704.98,direct,
2021-06-26,40240.1,36974.93,38704.98,8290.56,320106022.81,39558.8,direct,
2021-06-27,42717.57,39226.82,39558.8,7137.58,290221854.99,42716.91,direct,
2021-06-28,43462.67,41673.97,42716.91,9908.21,420423177.55,42378.39,direct,
2021-06-29,45405.84,42154.5,42378.39,10274.81,451309531.92,44557.06,direct,
2021-06-30,44860.84,42120.83,44557.06,8898.08,385139363.09,43530.49,direct,
2021-07-01,43553.01,40631.95,43530.49,8348.49,348185738.37,41595.55,direct,
2021-07-02,42335.11,40579.27,41595.55,6808.51,281245588.41,41758.51,direct,
2021-07-03,43141.97,40950.54,41758.51,7438.22,314634392.93,42839.1,direct,
2021-07-04,44412.59,42231.53,42839.1,6149.0,267522152.45,43381.94,direct,
2021-07-05,43532.9,40822.66,43381.94,9726.17,408412561.42,41455.87,direct,
2021-07-06,43378.33,41413.6,41455.87,10344.97,437288415.61,42541.99,direct,
2021-07-07,43680.41,42063.07,42541.99,5005.69,215381561.44,42131.0,direct,
2021-07-08,42432.19,40187.9,42131.0,4386.12,180464646.68,41318.84,direct,
2021-07-09,42477.2,40350.59,41318.84,3418.44,141679381.5,41924.32,direct,
2021-07-10,42732.44,40979.94,41924.32,3070.5,128861585.48,41820.91,direct,
2021-07-11,43214.22,41321.68,41820.91,7615.58,320873177.29,42480.01,direct,
2021-07-12,43332.66,40546.21,42480.01,8119.51,341546585.73,41111.64,direct,
2021-07-13,41683.54,40182.18,41111.64,8079.27,331063924.97,40843.3,direct,
2021-07-14,41461.98,39425.62,40843.3,5772.57,233709603.35,41190.69,direct,
2021-07-15,41690.23,39149.66,41190.69,6310.66,253133377.58,39974.39,direct,
2021-07-16,40681.86,38953.38,39974.39,8833.83,353013363.66,39432.51,direct,
